day,percentage_infected
1,0.008
2,0.008
3,0.008
4,0.008
5,0.008
6,0.008
7,0.008
8,0.008
9,0.008
10,0.008
11,0.008
12,0.008
13,0.008
14,0.008
15,0.008
16,0.008
17,0.008
18,0.008
19,0.008
20,0.008
21,0.008
22,0.008
23,0.008
24,0.008
25,0.008
26,0.008
27,0.008
28,0.008
29,0.008
30,0.008
31,0.008
32,0.008
33,0.008
34,0.008
35,0.008
36,0.008
37,0.008
38,0.008
39,0.008
40,0.008
41,0.008
42,0.008
43,0.008
44,0.008
45,0.008
46,0.008
47,0.008
48,0.008
49,0.008
50,0.008
51,0.008
52,0.008
53,0.008
54,0.008
55,0.008
56,0.008
57,0.008
58,0.008
59,0.008
60,0.008
